Region;Week;Visits;shop_id
Zuid;2024-10-27 To 2024-11-02;102.528;;
Zuid;2024-11-03 To 2024-11-09;107.423;;
Zuid;2024-11-10 To 2024-11-16;120.709;;
Zuid;2024-11-17 To 2024-11-23;127.5;;
Zuid;2024-11-24 To 2024-11-30;125.999;;
Zuid;2024-12-01 To 2024-12-07;119.686;;
Zuid;2024-12-08 To 2024-12-14;120.659;;
Zuid;2024-12-15 To 2024-12-21;119.701;;
Zuid;2024-12-22 To 2024-12-28;131.001;;
Zuid;2024-12-29 To 2025-01-04;125.942;;
Zuid;2025-01-05 To 2025-01-11;127.888;;
Zuid;2025-01-12 To 2025-01-18;132.425;;
Zuid;2025-01-19 To 2025-01-25;133.343;;
Zuid;2025-01-26 To 2025-02-01;131.652;;
Zuid;2025-02-02 To 2025-02-08;138.306;;
Zuid;2025-02-09 To 2025-02-15;118.812;;
Zuid;2025-02-16 To 2025-02-22;131.0;;
Zuid;2025-02-23 To 2025-03-01;112.758;;
Zuid;2025-03-02 To 2025-03-08;94.16;;
Zuid;2025-03-09 To 2025-03-15;101.065;;
Zuid;2025-03-16 To 2025-03-22;82.92;;
Zuid;2025-03-23 To 2025-03-29;119.717;;
Zuid;2025-03-30 To 2025-04-05;112.908;;
Zuid;2025-04-06 To 2025-04-12;109.899;;
Zuid;2025-04-13 To 2025-04-19;116.476;;
Zuid;2025-04-20 To 2025-04-26;97.884;;
Zuid;2025-04-27 To 2025-05-03;86.906;;
Zuid;2025-05-04 To 2025-05-10;125.832;;
Zuid;2025-05-11 To 2025-05-17;142.741;;
Zuid;2025-05-18 To 2025-05-24;156.886;;
Zuid;2025-05-25 To 2025-05-31;144.348;;
Zuid;2025-06-01 To 2025-06-07;140.7;;
Zuid;2025-06-08 To 2025-06-14;123.522;;
Zuid;2025-06-15 To 2025-06-21;127.932;;
Zuid;2025-06-22 To 2025-06-28;131.431;;
Zuid;2025-06-29 To 2025-07-05;141.677;;
Zuid;2025-07-06 To 2025-07-12;132.397;;
Zuid;2025-07-13 To 2025-07-19;150.963;;
Zuid;2025-07-20 To 2025-07-26;147.301;;
Zuid;2025-07-27 To 2025-08-02;183.016;;
Zuid;2025-08-03 To 2025-08-09;147.015;;
Zuid;2025-08-10 To 2025-08-16;123.789;;
Zuid;2025-08-17 To 2025-08-23;109.659;;
Zuid;2025-08-24 To 2025-08-30;95.655;;
Zuid;2025-08-31 To 2025-09-06;107.01;;
Zuid;2025-09-07 To 2025-09-13;99.898;;
Zuid;2025-09-14 To 2025-09-20;113.81;;
Zuid;2025-09-21 To 2025-09-27;144.249;;
Zuid;2025-09-28 To 2025-10-04;123.428;;
Zuid;2025-10-05 To 2025-10-11;102.417;;
Zuid;2025-10-12 To 2025-10-18;101.452;;
Zuid;2025-10-19 To 2025-10-25;98.919;;
Zuid;2025-10-26 To 2025-11-01;155.131;;
Zuid;2025-11-02 To 2025-11-08;162.961;;
Zuid;2025-11-09 To 2025-11-15;159.567;;
Zuid;2025-11-16 To 2025-11-22;158.069;;
West;2023-12-31 To 2024-01-06;16.725;;
West;2024-01-07 To 2024-01-13;17.578;;
West;2024-01-14 To 2024-01-20;20.11;;
West;2024-01-21 To 2024-01-27;18.746;;
West;2024-01-28 To 2024-02-03;20.055;;
West;2024-02-04 To 2024-02-10;23.472;;
West;2024-02-11 To 2024-02-17;26.412;;
West;2024-02-18 To 2024-02-24;21.51;;
West;2024-02-25 To 2024-03-02;22.359;;
West;2024-03-03 To 2024-03-09;18.116;;
